"occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","genus_name","genus_reso","species_name","species_reso","genus","genus_no","class","class_no","phylum","phylum_no","lng","lat","cc","state","geogscale","paleolng","paleolat","geoplate","early_age.1","late_age.1","cx_int_no","early_int_no","late_int_no","formation","member","formation.1","member.1","stratscale","stratcomments","family","family_no","reid_no","order","order_no","late_interval","subgenus_name"
"471858","occurrence","46890","Lepisosteus sp.","genus","35150","Lepisosteus","genus","35150","Maastrichtian","72.1","66","12459;12459","Lepisosteus",NA,"sp.",NA,"Lepisosteus","35150","Actinopteri","94889","Chordata","33815","46.583328","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed",NA,"Lepisosteidae","63030",NA,"Lepisosteiformes","63031",NA,NA
"471922","occurrence","46894","Lepisosteus sp.","genus","35150","Lepisosteus","genus","35150","Maastrichtian","72.1","66","12459;12459","Lepisosteus",NA,"sp.",NA,"Lepisosteus","35150","Actinopteri","94889","Chordata","33815","46.583302","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed",NA,"Lepisosteidae","63030",NA,"Lepisosteiformes","63031",NA,NA
"471960","occurrence","46897","Axelrodichthys sp.","genus","134537","Axelrodichthys","genus","134537","Coniacian","89.8","83.6","12460;12460","Axelrodichthys",NA,"sp.",NA,"Axelrodichthys","134537","Coelacanthimorpha","219194","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,"Mawsoniidae","202304",NA,"Coelacanthiformes","80820","Santonian",NA
"471961","occurrence","46897","Amiidae indet.","family","56536","Amiidae","family","56536","Coniacian","89.8","83.6","12460;12460","Amiidae",NA,"indet.",NA,NA,NA,"Actinopteri","94889","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,"Amiidae","56536",NA,"Amiiformes","35190","Santonian",NA
"471962","occurrence","46897","Ceratodus madagascariensis","species","321109","Ceratodus madagascariensis","species","321109","Coniacian","89.8","83.6","12460;12460","Ceratodus",NA,"madagascariensis",NA,"Ceratodus","54495","Osteichthyes","34881","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,"Ceratodontidae","57670",NA,"Dipnomorpha","67350","Santonian",NA
"471963","occurrence","46897","Theropoda indet.","unranked clade","38513","Theropoda","unranked clade","91970","Coniacian","89.8","83.6","12460;12460","Theropoda",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,NA,NA,NA,NA,NA,"Santonian",NA
"471964","occurrence","46897","Sauropoda indet.","unranked clade","38653","Sauropoda","unranked clade","95571","Coniacian","89.8","83.6","12460;12460","Sauropoda",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,NA,NA,NA,NA,NA,"Santonian",NA
"471965","occurrence","46897","Pleurodira indet.","suborder","37589","Pleurodira","suborder","37589","Coniacian","89.8","83.6","12460;12460","Pleurodira",NA,"indet.",NA,NA,NA,"Reptilia","36322","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,NA,NA,NA,"Testudines","56475","Santonian",NA
"471966","occurrence","46897","Mesosuchia "" indet.","suborder","38339","Mesosuchia","suborder","38339","Coniacian","89.8","83.6","12460;12460","Mesosuchia","""","indet.",NA,NA,NA,"Reptilia","36322","Chordata","33815","46.700001","-16.166670","MG","Mahajanga","small collection",42.03,-35.48,"702",89.8,83.6,"39","115","114","Ankazomihaboka",NA,"Ankazomihaboka",NA,"bed",NA,NA,NA,NA,"Eosuchia","37795","Santonian",NA
"483685","occurrence","48389","Majungatholus atopus","species","56395","Majungasaurus crenatissimus","species","53957","Maastrichtian","72.1","66","8733;8733","Majungatholus",NA,"atopus",NA,"Majungasaurus","38582","Saurischia","38505","Chordata","33815","46.581944","-15.908056","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member","Abelisauridae","53942",NA,NA,NA,NA,NA
"483686","occurrence","48389","Beelzebufo ampinga","species","118075","Beelzebufo ampinga","species","118075","Maastrichtian","72.1","66","49974;49974","Beelzebufo",NA,"ampinga",NA,"Beelzebufo","118074","Osteichthyes","34881","Chordata","33815","46.581944","-15.908056","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member",NA,NA,"29598","Anura","97112",NA,NA
"483687","occurrence","48389","Testudines indet.","order","56475","Testudines","order","56475","Maastrichtian","72.1","66","12923;12923","Testudines",NA,"indet.",NA,NA,NA,"Reptilia","36322","Chordata","33815","46.581944","-15.908056","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member",NA,NA,NA,"Testudines","56475",NA,NA
"483688","occurrence","48389","Sauropoda indet.","unranked clade","38653","Sauropoda","unranked clade","95571","Maastrichtian","72.1","66","12923;12923","Sauropoda",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.581944","-15.908056","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member",NA,NA,NA,NA,NA,NA,NA
"483689","occurrence","48389","Crocodyliformes indet.","suborder","53400","Crocodyliformes","suborder","53400","Maastrichtian","72.1","66","12923;12923","Crocodyliformes",NA,"indet.",NA,NA,NA,"Reptilia","36322","Chordata","33815","46.581944","-15.908056","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member",NA,NA,NA,"Eosuchia","37795",NA,NA
"483690","occurrence","39265","Majungatholus atopus","species","56395","Majungasaurus crenatissimus","species","53957","Maastrichtian","72.1","66","12923;12923","Majungatholus",NA,"atopus",NA,"Majungasaurus","38582","Saurischia","38505","Chordata","33815","46.582500","-15.908611","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member","Abelisauridae","53942",NA,NA,NA,NA,NA
"483691","occurrence","25074","Masiakasaurus n. gen. knopfleri n. sp.","species","56389","Masiakasaurus knopfleri","species","56389","Maastrichtian","72.1","66","23634;23634","Masiakasaurus","n. gen.","knopfleri","n. sp.","Masiakasaurus","56388","Saurischia","38505","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections","Noasauridae","54535",NA,NA,NA,NA,NA
"483692","occurrence","25074","Majungatholus atopus","species","56395","Majungasaurus crenatissimus","species","53957","Maastrichtian","72.1","66","8733;8733","Majungatholus",NA,"atopus",NA,"Majungasaurus","38582","Saurischia","38505","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections","Abelisauridae","53942",NA,NA,NA,NA,NA
"483693","occurrence","25074","Kinkonychelys rogersi","species","153867","Kinkonychelys rogersi","species","153867","Maastrichtian","72.1","66","30695;30695","Kinkonychelys",NA,"rogersi",NA,"Kinkonychelys","153866","Reptilia","36322","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections","Bothremydidae","67318","22031","Testudines","56475",NA,NA
"483694","occurrence","25074","Madtsoia madagascariensis","species","64960","Madtsoia madagascariensis","species","64960","Maastrichtian","72.1","66","32931;32931","Madtsoia",NA,"madagascariensis",NA,"Madtsoia","38105","Reptilia","36322","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections","Madtsoiidae","64923","23224","Squamata","36379",NA,NA
"483695","occurrence","25074","Pisces indet.",NA,"56647","Osteichthyes","unranked clade","218963","Maastrichtian","72.1","66","12923;12923","Pisces",NA,"indet.",NA,NA,NA,"Osteichthyes","34881","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections",NA,NA,NA,NA,NA,NA,NA
"483696","occurrence","25074","Mammalia indet.","class","36651","Mammalia","class","36651","Maastrichtian","72.1","66","12923;12923","Mammalia",NA,"indet.",NA,NA,NA,"Mammalia","36651","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections",NA,NA,NA,NA,NA,NA,NA
"484965","occurrence","48539","Madtsoia madagascariensis n. sp.","species","64960","Madtsoia madagascariensis","species","64960","Maastrichtian","72.1","66","12935;12935","Madtsoia",NA,"madagascariensis","n. sp.","Madtsoia","38105","Reptilia","36322","Chordata","33815","46.523495","-15.790748","MG","Mahajanga","small collection",43.69,-36.45,"702",72.1,66,"112","112","112","Maevarano",NA,"Maevarano",NA,"bed",NA,"Madtsoiidae","64923",NA,"Squamata","36379",NA,NA
"484966","occurrence","48540","Madtsoia madagascariensis","species","64960","Madtsoia madagascariensis","species","64960","Maastrichtian","72.1","66","12935;12935","Madtsoia",NA,"madagascariensis",NA,"Madtsoia","38105","Reptilia","36322","Chordata","33815","46.583332","-15.900000","MG","Mahajanga",NA,43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano",NA,"Maevarano",NA,"bed",NA,"Madtsoiidae","64923",NA,"Squamata","36379",NA,NA
"484967","occurrence","48541","Madtsoia madagascariensis","species","64960","Madtsoia madagascariensis","species","64960","Maastrichtian","72.1","66","12935;12935","Madtsoia",NA,"madagascariensis",NA,"Madtsoia","38105","Reptilia","36322","Chordata","33815","46.599998","-15.733333","MG","Mahajanga",NA,43.78,-36.39,"702",72.1,66,"112","112","112","Maevarano",NA,"Maevarano",NA,"bed",NA,"Madtsoiidae","64923",NA,"Squamata","36379",NA,NA
"504368","occurrence","51252","Megalosaurus crenatissimus","species","53959","Majungasaurus crenatissimus","species","53957","Maastrichtian","72.1","66","13648;13648","Megalosaurus",NA,"crenatissimus",NA,"Majungasaurus","38582","Saurischia","38505","Chordata","33815","46.516701","-15.933300","MG","Mahajanga","outcrop",43.67,-36.59,"702",72.1,66,"112","112","112","Maevarano",NA,"Maevarano",NA,"group of beds",NA,"Abelisauridae","53942","18612",NA,NA,NA,NA
"504369","occurrence","51252","Titanosaurus madagascariensis","species","64324","Titanosaurus madagascariensis","species","64324","Maastrichtian","72.1","66","13648;13648","Titanosaurus",NA,"madagascariensis",NA,"Titanosaurus","38694","Saurischia","38505","Chordata","33815","46.516701","-15.933300","MG","Mahajanga","outcrop",43.67,-36.59,"702",72.1,66,"112","112","112","Maevarano",NA,"Maevarano",NA,"group of beds",NA,NA,NA,"18613",NA,NA,NA,NA
"504388","occurrence","51253","Sauropoda indet.","unranked clade","38653","Sauropoda","unranked clade","95571","Late Cretaceous","100.5","66","13648;13648","Sauropoda",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.816700","-16.466700","MG","Mahajanga","small collection",42.8,-36.49,"702",100.5,66,"39","39","39",NA,NA,NA,NA,"bed",NA,NA,NA,NA,NA,NA,NA,NA
"513260","occurrence","51915","Dinosauria indet.","unranked clade","52775","Dinosauria","unranked clade","91968","Cenomanian","100.5","93.9","6986;6986","Dinosauria",NA,"indet.",NA,NA,NA,"Reptilia","36322","Chordata","33815","44.816700","-20.216700","MG","Toliara","outcrop",36.45,-37.65,"702",100.5,93.9,"117","117","117",NA,NA,NA,NA,"group of beds",NA,NA,NA,NA,"Eosuchia","37795",NA,NA
"534258","occurrence","55268","Titanosauridae indet.","family","38680","Titanosauridae","family","38680","Maastrichtian","72.1","66","14771;14771","Titanosauridae",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian","Titanosauridae","38680",NA,NA,NA,NA,NA
"534259","occurrence","55269","Titanosauridae indet.","family","38680","Titanosauridae","family","38680","Maastrichtian","72.1","66","14771;14771","Titanosauridae",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian","Titanosauridae","38680",NA,NA,NA,NA,NA
"534260","occurrence","55270","Titanosauridae indet.","family","38680","Titanosauridae","family","38680","Maastrichtian","72.1","66","14771;14771","Titanosauridae",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.602779","-15.900833","MG","Mahajanga","small collection",43.78,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","Facies 2 of member, 9.6 m below top of formation and base of Berivotra Fm.","Titanosauridae","38680",NA,NA,NA,NA,NA
"534261","occurrence","55271","Titanosauridae indet.","family","38680","Titanosauridae","family","38680","Maastrichtian","72.1","66","14771;14771","Titanosauridae",NA,"indet.",NA,NA,NA,"Saurischia","38505","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian","Titanosauridae","38680",NA,NA,NA,NA,NA
"534262","occurrence","55271","Crocodylia indet.","unranked clade","38309","Crocodylia","unranked clade","96626","Maastrichtian","72.1","66","14771;14771","Crocodylia",NA,"indet.",NA,NA,NA,"Reptilia","36322","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian",NA,NA,NA,"Crocodylia","36582",NA,NA
"536107","occurrence","55451","Odontaspis ferox","species","83148","Odontaspis ferox","species","83148","Neogene","23.03","2.588","14950;14950","Odontaspis",NA,"ferox",NA,"Odontaspis","34620","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Odontaspididae","63010",NA,"Lamniformes","34598",NA,NA
"536108","occurrence","55451","Mitsukurina owstoni","species","34619","Mitsukurina","genus","34619","Neogene","23.03","2.588","14950;14950","Mitsukurina",NA,"owstoni",NA,"Mitsukurina","34619","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Mitsukurinidae","117669",NA,"Lamniformes","34598",NA,NA
"536109","occurrence","55451","Alopias superciliosus","species","83162","Alopias superciliosus","species","83162","Neogene","23.03","2.588","14950;14950","Alopias",NA,"superciliosus",NA,"Alopias","34599","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Alopiidae","83153",NA,"Odontaspidida","118021",NA,NA
"536110","occurrence","55451","Carcharocles megalodon","species","202672","Otodus megalodon","species","381671","Neogene","23.03","2.588","14950;14950","Carcharocles",NA,"megalodon",NA,"Otodus","34621","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Otodontidae","154379",NA,"Lamniformes","34598",NA,NA
"536111","occurrence","55451","Isurus oxyrinchus","species","83168","Isurus oxyrinchus","species","83168","Neogene","23.03","2.588","14950;14950","Isurus",NA,"oxyrinchus",NA,"Isurus","34613","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Lamnidae","80587",NA,"Lamniformes","34598",NA,NA
"536112","occurrence","55451","Isurus paucus","species","394449","Isurus paucus","species","394449","Neogene","23.03","2.588","14950;14950","Isurus",NA,"paucus",NA,"Isurus","34613","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Lamnidae","80587",NA,"Lamniformes","34598",NA,NA
"536113","occurrence","55451","Parotodus benedeni","species","389883","Parotodus benedeni","species","389883","Neogene","23.03","2.588","14950;14950","Parotodus",NA,"benedeni",NA,"Parotodus","34628","Chondrichthyes","34422","Chordata","33815","58.349998","-24.383333","MG",NA,NA,NA,NA,NA,23.03,2.588,"25","25","25",NA,NA,NA,NA,NA,"possibly Calabrian. Pleistocene age needs to be tested","Otodontidae","154379",NA,"Lamniformes","34598",NA,NA
"538159","occurrence","51586","Myliobatis sp.","genus","34741","Myliobatis","genus","34741","Tortonian","11.62","7.246","15083;15083","Myliobatis",NA,"sp.",NA,"Myliobatis","34741","Chondrichthyes","34422","Chordata","33815","45.903057","-15.711944","MG",NA,NA,46.19,-18.19,"702",11.62,7.246,"99","99","99",NA,NA,NA,NA,NA,"lower terrigenous unit and upper nummulitic marl
Early late Miocene, about 10 Ma, or early Tortonian. For this locality, Ramihangihajason et al. (2014; see their Fig. 4, numbers 8, 15, 24) reported foraminiferal taxa and ages including: Ammonia cf. beccarii (early Miocene to Holocene), Alveolinella sp. (middle Miocene to Ho- locene), and Lepidocyclina sp. (Eocene– early Miocene).","Myliobatidae","80577",NA,"Myliobatiformes","34720",NA,NA
"538160","occurrence","51586","Carcharodon megalodon","species","80601","Otodus megalodon","species","381671","Tortonian","11.62","7.246","15083;15083","Carcharodon",NA,"megalodon",NA,"Otodus","34621","Chondrichthyes","34422","Chordata","33815","45.903057","-15.711944","MG",NA,NA,46.19,-18.19,"702",11.62,7.246,"99","99","99",NA,NA,NA,NA,NA,"lower terrigenous unit and upper nummulitic marl
Early late Miocene, about 10 Ma, or early Tortonian. For this locality, Ramihangihajason et al. (2014; see their Fig. 4, numbers 8, 15, 24) reported foraminiferal taxa and ages including: Ammonia cf. beccarii (early Miocene to Holocene), Alveolinella sp. (middle Miocene to Ho- locene), and Lepidocyclina sp. (Eocene– early Miocene).","Otodontidae","154379",NA,"Lamniformes","34598",NA,NA
"538161","occurrence","51586","Odontaspis sp.","genus","34620","Odontaspis","genus","34620","Tortonian","11.62","7.246","15083;15083","Odontaspis",NA,"sp.",NA,"Odontaspis","34620","Chondrichthyes","34422","Chordata","33815","45.903057","-15.711944","MG",NA,NA,46.19,-18.19,"702",11.62,7.246,"99","99","99",NA,NA,NA,NA,NA,"lower terrigenous unit and upper nummulitic marl
Early late Miocene, about 10 Ma, or early Tortonian. For this locality, Ramihangihajason et al. (2014; see their Fig. 4, numbers 8, 15, 24) reported foraminiferal taxa and ages including: Ammonia cf. beccarii (early Miocene to Holocene), Alveolinella sp. (middle Miocene to Ho- locene), and Lepidocyclina sp. (Eocene– early Miocene).","Odontaspididae","63010",NA,"Lamniformes","34598",NA,NA
"538162","occurrence","51586","Carcharias (Prionodon) sp.","subgenus","80610","Prionace","genus","34658","Tortonian","11.62","7.246","15083;15083","Carcharias",NA,"sp.",NA,"Carcharias (Prionodon)","80610","Chondrichthyes","34422","Chordata","33815","45.903057","-15.711944","MG",NA,NA,46.19,-18.19,"702",11.62,7.246,"99","99","99",NA,NA,NA,NA,NA,"lower terrigenous unit and upper nummulitic marl
Early late Miocene, about 10 Ma, or early Tortonian. For this locality, Ramihangihajason et al. (2014; see their Fig. 4, numbers 8, 15, 24) reported foraminiferal taxa and ages including: Ammonia cf. beccarii (early Miocene to Holocene), Alveolinella sp. (middle Miocene to Ho- locene), and Lepidocyclina sp. (Eocene– early Miocene).","Carcharhinidae","83183",NA,"Carchariniformes","34637",NA,"Prionodon"
"538163","occurrence","51586","Carcharias (Aprionodon) sp.","subgenus","131326","Aprionodon","genus","100437","Tortonian","11.62","7.246","15083;15083","Carcharias",NA,"sp.",NA,"Aprionodon","100437","Chondrichthyes","34422","Chordata","33815","45.903057","-15.711944","MG",NA,NA,46.19,-18.19,"702",11.62,7.246,"99","99","99",NA,NA,NA,NA,NA,"lower terrigenous unit and upper nummulitic marl
